2026-05-26 18:57:30,318 INFO  ExportHelperExtension.cs: 1402 - Fixing 39
2026-05-26 18:57:30,319 INFO  ExportHelperExtension.cs: 1409 - Component 39 is already fixed
2026-05-26 18:57:30,319 INFO  ExportHelperExtension.cs: 1402 - Fixing 40
2026-05-26 18:57:30,319 INFO  ExportHelperExtension.cs: 1409 - Component 40 is already fixed
2026-05-26 18:57:30,319 INFO  ExportHelperExtension.cs: 1402 - Fixing 49
2026-05-26 18:57:30,319 INFO  ExportHelperExtension.cs: 1409 - Component 49 is already fixed
2026-05-26 18:57:30,320 INFO  ExportHelperExtension.cs: 1402 - Fixing 50
2026-05-26 18:57:30,320 INFO  ExportHelperExtension.cs: 1409 - Component 50 is already fixed
2026-05-26 18:57:30,320 INFO  ExportHelperExtension.cs: 1402 - Fixing 51
2026-05-26 18:57:30,320 INFO  ExportHelperExtension.cs: 1409 - Component 51 is already fixed
2026-05-26 18:57:30,320 INFO  ExportHelperExtension.cs: 1402 - Fixing 52
2026-05-26 18:57:30,321 INFO  ExportHelperExtension.cs: 1409 - Component 52 is already fixed
2026-05-26 18:57:30,321 INFO  ExportHelperExtension.cs: 1402 - Fixing 53
2026-05-26 18:57:30,321 INFO  ExportHelperExtension.cs: 1409 - Component 53 is already fixed
2026-05-26 18:57:30,321 INFO  ExportHelperExtension.cs: 1402 - Fixing 54
2026-05-26 18:57:30,321 INFO  ExportHelperExtension.cs: 1409 - Component 54 is already fixed
2026-05-26 18:57:30,322 INFO  ExportHelperExtension.cs: 1402 - Fixing 55
2026-05-26 18:57:30,322 INFO  ExportHelperExtension.cs: 1409 - Component 55 is already fixed
2026-05-26 18:57:30,322 INFO  ExportHelperExtension.cs: 1402 - Fixing 56
2026-05-26 18:57:30,322 INFO  ExportHelperExtension.cs: 1409 - Component 56 is already fixed
2026-05-26 18:57:30,323 INFO  ExportHelperExtension.cs: 1402 - Fixing 57
2026-05-26 18:57:30,323 INFO  ExportHelperExtension.cs: 1409 - Component 57 is already fixed
2026-05-26 18:57:30,323 INFO  ExportHelperExtension.cs: 1402 - Fixing 58
2026-05-26 18:57:30,323 INFO  ExportHelperExtension.cs: 1409 - Component 58 is already fixed
2026-05-26 18:57:30,323 INFO  ExportHelperExtension.cs: 1402 - Fixing 93
2026-05-26 18:57:30,324 INFO  ExportHelperExtension.cs: 1409 - Component 93 is already fixed
2026-05-26 18:57:30,324 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
2026-05-26 18:57:30,324 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2026-05-26 18:57:30,324 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2026-05-26 18:57:30,324 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2026-05-26 18:57:30,325 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
2026-05-26 18:57:30,325 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2026-05-26 18:57:30,325 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2026-05-26 18:57:30,325 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
